index,Top Categories,Top Products
AN201-RED-M,,458.0
AN201-RED-XL,,602.0
AN201-RED-XXL,,229.0
AN202-ORANGE-M,,530.0
AN202-ORANGE-S,,1141.0
AN202-ORANGE-XXL,,229.0
AN203-MAROON-XXL,,301.0
AN204-PURPLE-L,,956.0
AN204-PURPLE-M,,322.0
AN204-PURPLE-S,,322.0
AN204-PURPLE-XXL,,644.0
AN205-YELLOW-S,,482.0
AN205-YELLOW-XL,,903.0
AN205-YELLOW-XXL,,301.0
AN206-GREEN-M,,249.0
AN206-GREEN-S,,301.0
AN206-GREEN-XL,,301.0
AN207-PINK-L,,322.0
AN207-PINK-S,,322.0
AN207-PINK-XXL,,322.0
AN208-MUSTARD-L,,301.0
AN208-MUSTARD-M,,229.0
AN208-MUSTARD-S,,229.0
AN208-MUSTARD-XL,,530.0
AN208-MUSTARD-XXL,,840.0
AN209-BIEGE-XL,,1373.0
AN209-BIEGE-XXL,,229.0
AN211-BLACK-L,,1806.0
AN211-BLACK-S,,903.0
AN211-BLACK-XL,,301.0
AN211-BLACK-XXL,,1204.0
AN212-WHITE-L,,322.0
AN212-WHITE-M,,312.0
AN212-WHITE-S,,312.0
AN212-WHITE-XL,,644.0
AN212-WHITE-XXL,,322.0
AN213-BROWN-L,,1204.0
AN213-BROWN-M,,301.0
AN213-BROWN-S,,2264.0
AN213-BROWN-XL,,301.0
BL001-50PINK,,419.0
BL003-50BLACK,,838.0
BL003-50BLACK-B,,2507.0
BL004-50CHIKU-B,,419.0
BL006-54BLACK,,2323.0
BL006-54BLACK-B,,383.0
BL007-61PINK-B,,678.0
BL008-61RED-B,,678.0
BL009-61BLACK,,1705.0
BL009-61BLACK-B,,5265.0
BL010-61CHIKU-B,,838.0
BL011-62PINK-B,,372.0
BL013-62BLACK,,3745.0
BL015-63PINK,,758.0
BL016-63RED-B,,385.0
BL017-63BLACK,,379.0
BL017-63BLACK-B,,379.0
BL019-71PINK,,837.0
BL019-71PINK-B,,838.0
BL020-71RED,,0.0
BL020-71RED-B,,419.0
BL021-71BLACK,,14234.0
BL021-71BLACK-B,,838.0
BL022-71BEIGE,,2094.0
BL023-74PINK-B,,383.0
BL024-74RED,,383.0
BL024-74RED-B,,771.0
BL025-74BLACK,,388.0
BL025-74BLACK-B,,1920.0
BL026-74BEIGE,,383.0
BL026-74BEIGE-B,,766.0
BL029-78BLACK,,419.0
BL029-78BLACK-B,,1676.0
BL035-161GOLD,,7505.0
BL036-176GOLD,,3765.0
BL041-65RED-A,,1935.0
BL050-83RED-A,,379.0
BL053-153GOLD-A,,764.0
BL055-164GOLD-A,,758.0
BL056-185GOLD,,383.0
BL057-65BLACK-A,,5930.0
BL060-75RED,,419.0
BL073-85BLACK,,429.0
BL074-85RED,,429.0
BL075-85CHIKU,,436.0
BL079-87RED,,865.0
BL085-S,,460.0
BL086-XL,,568.0
BL086-XXL,,568.0
BL087-L,,647.0
BL087-M,,1419.0
BL087-S,,647.0
BL087-XS,,920.0
BL087-XXL,,920.0
BL089-M,,301.0
BL089-XS,,301.0
BL089-XXL,,273.0
BL090-M,,1419.0
BL090-S,,499.0
BL090-XS,,0.0
BL090-XXL,,460.0
BL093-M,,301.0
BL093-S,,273.0
BL095-M,,460.0
BL095-XL,,460.0
BL096-S,,229.0
BL096-XL,,301.0
BL098-M,,372.0
BL098-S,,1576.0
BL098-XL,,602.0
BL098-XS,,419.0
BL098-XXL,,602.0
BL099-L,,560.0
BL099-S,,777.0
BL099-XS,,259.0
BL100-M,,259.0
BL100-S,,777.0
BL100-XL,,560.0
BL101-M,,498.0
BL101-S,,498.0
BL101-XS,,249.0
BL101-XXL,,249.0
BL102-L,,518.0
BL102-M,,1036.0
BL102-S,,259.0
BL102-XS,,259.0
BL103-L,,2417.0
BL103-M,,499.0
BL103-S,,1419.0
BL103-XL,,4132.0
BL103-XS,,1380.0
BL103-XXL,,3758.0
BL104-L,,5038.0
BL104-M,,1720.0
BL104-S,,2994.0
BL104-XS,,493.0
BL104-XXL,,2008.0
BL107-M,,329.0
BL107-S,,967.0
BL107-XL,,319.0
BL107-XS,,959.0
BL107-XXL,,311.0
BL109-L,,4125.0
BL109-M,,3607.0
BL109-S,,487.0
BL109-XL,,1247.0
BL109-XS,,1036.0
BL109-XXL,,2528.0
BL110-L,,3744.0
BL110-M,,682.0
BL110-S,,1314.0
BL110-XL,,658.0
BL110-XS,,329.0
BL110-XXL,,333.0
BL111-L,,1141.0
BL111-M,,882.0
BL111-S,,560.0
BL111-XL,,301.0
BL111-XS,,602.0
BL113-L,,1449.0
BL113-M,,493.0
BL113-S,,1479.0
BL113-XL,,2958.0
BL113-XS,,1479.0
BL113-XXL,,1479.0
BTM002-B-L,,518.0
BTM002-B-M,,2283.0
BTM002-B-XL,,518.0
BTM002-B-XXXL,,518.0
BTM002-L,,518.0
BTM002-S,,1036.0
BTM002-XL,,518.0
BTM002-XXXL,,518.0
BTM003-B-L,,0.0
BTM003-B-XXXL,,518.0
BTM003-M,,518.0
BTM003-XXXL,,518.0
BTM004-XXXL,,349.0
BTM005-B-L,,518.0
BTM005-L,,518.0
BTM005-XXL,,518.0
BTM005-XXXL,,518.0
BTM008-B-L,,1036.0
BTM008-B-M,,1036.0
BTM008-B-XXL,,1036.0
BTM008-L,,518.0
BTM008-XL,,1036.0
BTM008-XXL,,1036.0
BTM008-XXXL,,518.0
BTM021-B-L,,518.0
BTM021-B-XS,,518.0
BTM021-B-XXL,,518.0
BTM021-B-XXXL,,518.0
BTM026-NP-L,,1036.0
BTM026-NP-M,,518.0
BTM026-NP-S,,518.0
BTM026-NP-XL,,1036.0
BTM026-NP-XS,,518.0
BTM026-NP-XXL,,729.0
BTM026-NP-XXXL,,1036.0
BTM027-NP-XXL,,518.0
BTM027-NP-XXXL,,1554.0
BTM029-NP-L,,1036.0
BTM029-NP-M,,1036.0
BTM029-NP-S,,1554.0
BTM029-NP-XL,,1554.0
BTM029-NP-XS,,518.0
BTM029-NP-XXL,,1554.0
BTM029-NP-XXXL,,1036.0
BTM030-NP-M,,284.0
BTM030-NP-S,,0.0
BTM030-NP-XL,,301.0
BTM030-NP-XS,,852.0
BTM030-NP-XXL,,284.0
BTM030-NP-XXXL,,1488.0
BTM031-NP-L,,2072.0
BTM031-NP-M,,518.0
BTM031-NP-XL,,2590.0
BTM031-NP-XS,,518.0
BTM031-NP-XXL,,518.0
BTM032-NP-S,,1840.0
BTM032-NP-XS,,594.0
BTM033-NP-XS,,297.0
BTM033-NP-XXL,,297.0
BTM033-NP-XXXL,,899.0
BTM035-NP-XS,,568.0
BTM035-NP-XXXL,,903.0
BTM036-PP-L,,1097.0
BTM036-PP-M,,360.0
BTM036-PP-S,,737.0
BTM036-PP-XL,,786.0
BTM036-PP-XXL,,1082.0
BTM036-PP-XXXL,,1080.0
BTM037-PP-M,,345.0
BTM037-PP-S,,345.0
BTM037-PP-XL,,1050.0
BTM037-PP-XS,,360.0
BTM037-PP-XXL,,345.0
BTM037-PP-XXXL,,705.0
BTM038-PP-L,,1116.0
BTM038-PP-S,,2268.0
BTM038-PP-XS,,360.0
BTM038-PP-XXL,,379.0
BTM038-PP-XXXL,,2251.0
BTM039-PP-L,,1800.0
BTM039-PP-M,,1800.0
BTM039-PP-S,,1800.0
BTM039-PP-XL,,1080.0
BTM039-PP-XS,,360.0
BTM039-PP-XXL,,720.0
BTM039-PP-XXXL,,2520.0
BTM040-PP-M,,331.0
BTM040-PP-S,,749.0
BTM040-PP-XL,,701.0
BTM040-PP-XS,,345.0
BTM040-PP-XXL,,1377.0
BTM040-PP-XXXL,,1035.0
BTM041-PP-L,,0.0
BTM041-PP-XL,,993.0
BTM041-PP-XS,,345.0
BTM041-PP-XXL,,690.0
BTM041-PP-XXXL,,1352.0
BTM042-PP-L,,1280.0
BTM042-PP-M,,963.0
BTM042-PP-S,,317.0
BTM042-PP-XL,,674.0
BTM042-PP-XS,,658.0
BTM042-PP-XXL,,329.0
BTM042-PP-XXXL,,646.0
BTM043-PP-S,,756.0
BTM043-PP-XL,,756.0
BTM043-PP-XS,,377.0
BTM043-PP-XXL,,1512.0
BTM043-PP-XXXL,,379.0
BTM044-PP-M,,1080.0
BTM044-PP-XL,,377.0
BTM044-PP-XS,,360.0
BTM044-PP-XXL,,360.0
BTM044-PP-XXXL,,720.0
BTM045-PP-M,,331.0
BTM045-PP-XL,,2028.0
BTM045-PP-XXL,,690.0
BTM045-PP-XXXL,,676.0
BTM046-PP-M,,0.0
BTM046-PP-XL,,369.0
BTM047-PP-L,,691.0
BTM047-PP-M,,331.0
BTM047-PP-S,,690.0
BTM047-PP-XS,,345.0
BTM047-PP-XXL,,676.0
BTM047-PP-XXXL,,345.0
BTM048-PP-L,,356.0
BTM048-PP-M,,676.0
BTM048-PP-XS,,345.0
BTM048-PP-XXL,,662.0
Blouse,418389.0,
Bottom,135453.0,
CH201-RED-M,,602.0
CH202-ORANGE-L,,574.0
CH202-ORANGE-XXL,,301.0
CH203-MAROON-L,,546.0
CH203-MAROON-S,,301.0
CH204-PURPLE-L,,284.0
CH204-PURPLE-M,,585.0
CH204-PURPLE-S,,284.0
CH205-YELLOW-S,,273.0
CH205-YELLOW-XL,,618.0
CH205-YELLOW-XXL,,891.0
CH206-GREEN-M,,301.0
CH206-GREEN-XXL,,273.0
CH207-PINK-L,,301.0
CH208-MUSTARD-L,,847.0
CH208-MUSTARD-M,,602.0
CH208-MUSTARD-S,,301.0
CH208-MUSTARD-XXL,,301.0
CH209-BIEGE-XL,,273.0
CH213-BROWN-L,,574.0
CH213-BROWN-M,,273.0
CH213-BROWN-S,,301.0
DPT032,,305.0
DPT041,,305.0
DPT052,,305.0
Dupatta,915.0,
Ethnic Dress,732744.0,
J0001-DR-L,,2070.0
